Fiscal Year,Project,From,To,"Total Cost (in 1,000’s)",Notes
2015,Fourth Street Partial Reconstruction,Kirby Ave,Armory Ave,"$1,985.00 ","Reconstruct Kirby to Peabody, Resurface Peabody to Armory, Drainage improvements and New Traffic Signal at Peabody and Fourth"
2015,Sixth Street Reconstruction,Gregory Dr,Armory Ave,"$1,096.00 ",Reconstruct Gregory to Armory and New Traffic Signals at Sixth/Gregory and Sixth/Armory
2015,Misc. Pavement Maintenance,Various,Various,$300.00 ,Miscellaneous patching and cracksealing
