Fiscal Year,Project,From,To,"Total Cost (in 1,000’s)",Notes
2015,Olympian Drive Extension West,Olympian Dr,Duncan Rd,"$1,875.00 ","Olympian Dr extension including 10’ HMA shoulders and 10’ bikepath, Sec 11-00290-00-PV"
2016,North Lincoln Avenue Construction,Saline Ct,Olympian Dr,"$3,600.00 ","Lincoln Ave extension including 6’ median shoulder and outside curb & gutter, Sec 11-00334-01-PV"
