Fiscal Year,Project,From,To,"Total Cost (in 1,000’s)",Notes
2015,Street Maintenance,Various Locations,Various Locations,$72.00 ,Street Maintenance
2016,Street Maintenance,Various Locations,Various Locations,$72.00 ,Street Maintenance
2017,Street Maintenance,Various Locations,Various Locations,$72.00 ,Street Maintenance
2018,Street Maintenance,Various Locations,Various Locations,$72.00 ,Street Maintenance
