Roadway,Jurisdiction,From,To,V/C
Mattis Ave,Champaign,Interstate Dr,Anthony Dr,1
Prospect Ave,Champaign,Bloomington Rd,Baytowne Dr,1
Neil St,Champaign,Anthony Dr,Marketview Dr,1
University Ave,Champaign,Neil St,Walnut St,1
