Roadway,Jurisdiction,From,To,V/C
Prospect Ave,Champaign,Bloomington Rd,Baytowne Dr,1
University Ave,Champaign,Walnut St,Neil St,1
Springfield Ave,Champaign,Neil St,Water St,1
Neil Street,Champaign,Anthony Dr,Marketview Dr,1
Lincoln Ave,Urbana,I74 EB Ramp,I74 WB Ramp,1
Lincoln Ave,Urbana,Church St,University Ave,1
