Roadway,Jurisdiction,From,To,V/C
Prospect Ave,Champaign,Bloomington Rd,Baytown Dr,1
Neil St,Champaign,Anthony Dr,Marketview Dr,1
Springfield Ave,IDOT,Water St,Neil St,1
