Destination,Intercity Buses,Willard Airport,Amtrak
"Galesburg, IL",X,,X
"Gilman, IL",,,X
"Homewood, IL",,,X
"Kankakee, IL",X,,X
"La Salle, IL",X,,
"Marion, IL",X,,
"Markham, IL",X,,
"Matteson, IL",X,,
"Mattoon, IL",X,,X
"Moline, IL",X,,X
