Roadway,2007,2008,2009,2010,2011
Mattis Ave,10,8,16,8,6
Prospect Ave,9,12,8,6,8
Neil St,11,6,8,6,8
Lincoln Ave,8,5,4,3,12
Cunningham Ave/Vine St,5,4,11,5,7
High Cross Rd/IL 130,3,1,3,1,3
Total,89,70,107,84,90
