Intersection,Volume Class,Average Crash Frequency,Average Crash Rate,Average EPDO Index*
"State St & Clark St, Champaign",B,4,1,4.2
"Walnut St & Columbia Ave, Champaign",B,4,1,4.6
"Maple St & University Ave, Urbana",B,4,0.8,3.7
"5th & White St, Champaign",D,2,1.1,1
"Coler Ave & Church St, Champaign",D,1,1.1,1
