Destination,Intercity Buses,Willard Airport,Amtrak
"Monmouth, IL",X,,
"Naperville, IL",X,,
"Normal, IL",X,,
"Peoria, IL",X,,X
"Quincy, IL",X,,
"Rantoul, IL",,,X
"Rockford, IL",X,,
"Rock Island, IL",X,,X
"Springfield, IL",X,,
"Stockton, IL",X,,
