Intersection,Volume Class,Average Crash Frequency,Average Crash Rate,Average EPDO Index*
"3rd & Springfield Ave, Champaign",B,6,1,8
"5th & Green St, Champaign",B,6,0.9,7.2
"Smith Rd & Main St, Urbana",C,4,1.1,6.8
