Roadway,Crashes,Injuries,Fatalities,A-Injury Crashes,B-Injury Crashes,C-Injury Crashes
Bradley Ave,673,241,2,46,61,60
University Ave,"1,110",355,3,67,112,78
Springfield Ave,938,280,2,49,82,79
Kirby Ave/Florida Ave,707,227,2,42,68,56
Windsor Rd,355,150,1,21,47,37
Total ,3783,1253,10,225,370,310
