Roadway,2007,2008,2009,2010,2011
Mattis Ave,-,-,-,1,-
Prospect Ave,-,1,-,-,-
Neil St,-,-,-,-,-
Lincoln Ave,-,-,-,-,-
Cunningham Ave/Vine St,-,-,-,-,1
High Cross Rd/IL 130,-,1,-,-,-
Total,0,2,0,1,1
