Roadway,2007,2008,2009,2010,2011
Bradley Ave,14,4,11,12,7
University Ave,14,12,19,12,13
Springfield Ave,6,9,7,15,14
Kirby Ave/Florida Ave,6,7,12,10,9
Windsor Rd,3,2,8,6,3
