Intersection,Volume Class,Average Crash Frequency,Average Crash Rate,Average EPDO Index*
"Mattis Ave & Glenn Park Dr, Champaign",A,4,0.4,4.9
"Mckinley Ave & Bradley Ave, Champaign",A,4,0.5,8.6
"Prospect Ave & John St, Champaign",A,8,1,4
"Vine St & Water St, Urbana",A,3,0.4,5.2
"Neil St & Washington St, Champaign",B,3,0.6,6.1
"Vine St & Pennsylvania Ave, Urbana",B,3,0.5,3.6
"Race St & Florida Ave, Urbana",B,4,0.7,4.5
"Center Dr & Marketview Dr, Champaign",C,2,0.6,1.8
"Elm St & University Ave, Champaign",C,2,0.7,5.9
"Mckinley Ave & Church St, Champaign",C,2,0.6,2.1
"State St & Columbia Ave, Champaign",C,2,0.6,3.2
"Broadway Ave & Bradley Ave, Urbana",C,2,0.8,10.4
"Broadway Ave & Illinois St, Urbana",D,1,0.8,11.3
