Year,Willard,Bloomington,Peoria,Springfield
2000,120106,234738,170264,35158
2001,111736,206859,177387,52835
2002,112246,199672,192308,102917
2003,95087,206390,177129,122412
2004,115911,219286,221466,111108
2005,129948,227489,253743,81165
2006,114769,255442,238870,64458
2007,108667,262191,269726,60556
2008,95179,261609,276209,55609
2009,85792,242834,240745,52921
2010,83391,273589,247900,51879
2011,81100,284116,247536,54190
2012,83796,238697,285165,59128
