Destination,Intercity Buses,Willard Airport,Amtrak
"Bloomington -Normal, IL",X,,X
"Carbondale, IL",X,,X
"Centralia, IL",,,X
"Chicago, IL",X,X,X
"Danville, IL",X,,X
"Decatur, IL",X,,
"Du Quoin, IL",,,X
"Effingham, IL",X,,X
"Freeport, IL",X,,
"Galena, IL",X,,
"Galesburg, IL",X,,X
"Gilman, IL",,,X
"Homewood, IL",,,X
"Kankakee, IL",X,,X
"La Salle, IL",X,,
"Marion, IL",X,,
"Markham, IL",X,,
"Matteson, IL",X,,
"Mattoon, IL",X,,X
"Moline, IL",X,,X
"Monmouth, IL",X,,
"Naperville, IL",X,,
"Normal, IL",X,,
"Peoria, IL",X,,X
"Quincy, IL",X,,
"Rantoul, IL",,,X
"Rockford, IL",X,,
"Rock Island, IL",X,,X
"Springfield, IL",X,,
"Stockton, IL",X,,
